Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,dest_mh,DH,ready_time,Load,pickup_add_time
Shipment,MOTHERHUB_BIL-MIRAROADHUB_MUM-p,19.2374987,73.0362352,20.451754,85.923332,MOTHERHUB_BIL,MIRAROADHUB_MUM,72000,458,0
Shipment,MOTHERHUB_BIL-MIRAROADHUB_MUM-c,19.2374987,73.0362352,20.451754,85.923332,MOTHERHUB_BIL,MIRAROADHUB_MUM,72000,186,14400
Shipment,MOTHERHUB_MUM-ANDHERIHUB_MUM-p,19.1170238,72.8580558,19.126708,72.852644,MOTHERHUB_MUM,ANDHERIHUB_MUM,72000,266,0
Shipment,MOTHERHUB_MUM-ANDHERIHUB_MUM-c,19.1170238,72.8580558,19.126708,72.852644,MOTHERHUB_MUM,ANDHERIHUB_MUM,72000,139,14400
Shipment,MOTHERHUB_MUM-ANDHERIWESTHUB_MUM-p,19.1170238,72.8580558,19.126708,72.852644,MOTHERHUB_MUM,ANDHERIWESTHUB_MUM,72000,384,0
Shipment,MOTHERHUB_MUM-ANDHERIWESTHUB_MUM-c,19.1170238,72.8580558,19.126708,72.852644,MOTHERHUB_MUM,ANDHERIWESTHUB_MUM,72000,102,14400
Shipment,MOTHERHUB_MUM-BHANDUPHUB_MUM-p,19.1170238,72.8580558,19.154828,72.9337837,MOTHERHUB_MUM,BHANDUPHUB_MUM,72000,585,0
Shipment,MOTHERHUB_MUM-BHANDUPHUB_MUM-c,19.1170238,72.8580558,19.154828,72.9337837,MOTHERHUB_MUM,BHANDUPHUB_MUM,72000,125,14400
Shipment,MOTHERHUB_MUM-BKCHUB_MUM-p,19.1170238,72.8580558,19.069361,72.837918,MOTHERHUB_MUM,BKCHUB_MUM,72000,517,0
Shipment,MOTHERHUB_MUM-BKCHUB_MUM-c,19.1170238,72.8580558,19.069361,72.837918,MOTHERHUB_MUM,BKCHUB_MUM,72000,91,14400
Shipment,MOTHERHUB_MUM-BORIVILIHUB_MUM-p,19.1170238,72.8580558,19.2314809,72.844209,MOTHERHUB_MUM,BORIVILIHUB_MUM,72000,546,0
Shipment,MOTHERHUB_MUM-BORIVILIHUB_MUM-c,19.1170238,72.8580558,19.2314809,72.844209,MOTHERHUB_MUM,BORIVILIHUB_MUM,72000,141,14400
Shipment,MOTHERHUB_MUM-BORIVILIMPHUB_MUM-p,19.1170238,72.8580558,19.2314809,72.844209,MOTHERHUB_MUM,BORIVILIMPHUB_MUM,72000,8,0
Shipment,MOTHERHUB_MUM-BORIVILIMPHUB_MUM-c,19.1170238,72.8580558,19.2314809,72.844209,MOTHERHUB_MUM,BORIVILIMPHUB_MUM,72000,120,14400
Shipment,MOTHERHUB_MUM-CHEMBURHUB_MUM-p,19.1170238,72.8580558,19.035018,72.895715,MOTHERHUB_MUM,CHEMBURHUB_MUM,72000,471,0
Shipment,MOTHERHUB_MUM-CHEMBURHUB_MUM-c,19.1170238,72.8580558,19.035018,72.895715,MOTHERHUB_MUM,CHEMBURHUB_MUM,72000,100,14400
Shipment,MOTHERHUB_MUM-CHEMBURSPLITHUB_MUM-p,19.1170238,72.8580558,19.035018,72.895715,MOTHERHUB_MUM,CHEMBURSPLITHUB_MUM,72000,353,0
Shipment,MOTHERHUB_MUM-CHEMBURSPLITHUB_MUM-c,19.1170238,72.8580558,19.035018,72.895715,MOTHERHUB_MUM,CHEMBURSPLITHUB_MUM,72000,141,14400
Shipment,MOTHERHUB_MUM-FORTHUB_MUM-p,19.1170238,72.8580558,18.95268,72.83641,MOTHERHUB_MUM,FORTHUB_MUM,72000,429,0
Shipment,MOTHERHUB_MUM-FORTHUB_MUM-c,19.1170238,72.8580558,18.95268,72.83641,MOTHERHUB_MUM,FORTHUB_MUM,72000,107,14400
Shipment,MOTHERHUB_MUM-GHATKOPARHUB_MUM-p,19.1170238,72.8580558,19.123017,72.92625,MOTHERHUB_MUM,GHATKOPARHUB_MUM,72000,285,0
Shipment,MOTHERHUB_MUM-GHATKOPARHUB_MUM-c,19.1170238,72.8580558,19.123017,72.92625,MOTHERHUB_MUM,GHATKOPARHUB_MUM,72000,149,14400
Shipment,MOTHERHUB_MUM-GOREGAONHUB_MUM-p,19.1170238,72.8580558,19.1578094,72.856265,MOTHERHUB_MUM,GOREGAONHUB_MUM,72000,514,0
Shipment,MOTHERHUB_MUM-GOREGAONHUB_MUM-c,19.1170238,72.8580558,19.1578094,72.856265,MOTHERHUB_MUM,GOREGAONHUB_MUM,72000,107,14400
Shipment,MOTHERHUB_MUM-GOREGAONMPHUB_MUM-p,19.1170238,72.8580558,19.1578094,72.856265,MOTHERHUB_MUM,GOREGAONMPHUB_MUM,72000,12,0
Shipment,MOTHERHUB_MUM-GOREGAONMPHUB_MUM-c,19.1170238,72.8580558,19.1578094,72.856265,MOTHERHUB_MUM,GOREGAONMPHUB_MUM,72000,169,14400
Shipment,MOTHERHUB_MUM-KAMANIHUB_MUM-p,19.1170238,72.8580558,1.9016439E+1,7.2829422E+1,MOTHERHUB_MUM,KAMANIHUB_MUM,72000,213,0
Shipment,MOTHERHUB_MUM-KAMANIHUB_MUM-c,19.1170238,72.8580558,1.9016439E+1,7.2829422E+1,MOTHERHUB_MUM,KAMANIHUB_MUM,72000,205,14400
Shipment,MOTHERHUB_MUM-KANDIVALIHUB_MUM-p,19.1170238,72.8580558,19.2073085,72.8520179,MOTHERHUB_MUM,KANDIVALIHUB_MUM,72000,508,0
Shipment,MOTHERHUB_MUM-KANDIVALIHUB_MUM-c,19.1170238,72.8580558,19.2073085,72.8520179,MOTHERHUB_MUM,KANDIVALIHUB_MUM,72000,131,14400
Shipment,MOTHERHUB_MUM-MALADWESTHUB_MUM-p,19.1170238,72.8580558,1.9182755E+1,7.2840157E+1,MOTHERHUB_MUM,MALADWESTHUB_MUM,72000,565,0
Shipment,MOTHERHUB_MUM-MALADWESTHUB_MUM-c,19.1170238,72.8580558,1.9182755E+1,7.2840157E+1,MOTHERHUB_MUM,MALADWESTHUB_MUM,72000,110,14400
Shipment,MOTHERHUB_MUM-SAKINAKAMPHUB_MUM-p,19.1170238,72.8580558,1.9094E+1,7.28865E+1,MOTHERHUB_MUM,SAKINAKAMPHUB_MUM,72000,11,0
Shipment,MOTHERHUB_MUM-SAKINAKAMPHUB_MUM-c,19.1170238,72.8580558,1.9094E+1,7.28865E+1,MOTHERHUB_MUM,SAKINAKAMPHUB_MUM,72000,147,14400
Shipment,MOTHERHUB_MUM-SAKINAKASPLITHUB_MUM-p,19.1170238,72.8580558,19.086654,72.888914,MOTHERHUB_MUM,SAKINAKASPLITHUB_MUM,72000,653,0
Shipment,MOTHERHUB_MUM-SAKINAKASPLITHUB_MUM-c,19.1170238,72.8580558,19.086654,72.888914,MOTHERHUB_MUM,SAKINAKASPLITHUB_MUM,72000,122,14400
Shipment,MOTHERHUB_MUM-SANTACRUZHUB_MUM-p,19.1170238,72.8580558,19.0727609,72.8695019,MOTHERHUB_MUM,SANTACRUZHUB_MUM,72000,417,0
Shipment,MOTHERHUB_MUM-SANTACRUZHUB_MUM-c,19.1170238,72.8580558,19.0727609,72.8695019,MOTHERHUB_MUM,SANTACRUZHUB_MUM,72000,110,14400
Shipment,MOTHERHUB_MUM-SANTACRUZMPHUB_MUM-p,19.1170238,72.8580558,19.0727609,72.8695019,MOTHERHUB_MUM,SANTACRUZMPHUB_MUM,72000,3,0
Shipment,MOTHERHUB_MUM-SANTACRUZMPHUB_MUM-c,19.1170238,72.8580558,19.0727609,72.8695019,MOTHERHUB_MUM,SANTACRUZMPHUB_MUM,72000,43,14400
Shipment,MOTHERHUB_MUM-SEWRIHUB_MUM-p,19.1170238,72.8580558,19.005456,72.848469,MOTHERHUB_MUM,SEWRIHUB_MUM,72000,472,0
Shipment,MOTHERHUB_MUM-SEWRIHUB_MUM-c,19.1170238,72.8580558,19.005456,72.848469,MOTHERHUB_MUM,SEWRIHUB_MUM,72000,117,14400
Shipment,MOTHERHUB_MUM-TARDEOHUB_MUM-p,19.1170238,72.8580558,18.954388,72.816041,MOTHERHUB_MUM,TARDEOHUB_MUM,72000,388,0
Shipment,MOTHERHUB_MUM-TARDEOHUB_MUM-c,19.1170238,72.8580558,18.954388,72.816041,MOTHERHUB_MUM,TARDEOHUB_MUM,72000,90,14400
Shipment,MOTHERHUB_MUM-TARDEOMPHUB_MUM-p,19.1170238,72.8580558,18.954388,72.816041,MOTHERHUB_MUM,TARDEOMPHUB_MUM,72000,12,0
Shipment,MOTHERHUB_MUM-TARDEOMPHUB_MUM-c,19.1170238,72.8580558,18.954388,72.816041,MOTHERHUB_MUM,TARDEOMPHUB_MUM,72000,160,14400
Shipment,MOTHERHUB_MUM-WADALAHUB_MUM-p,19.1170238,72.8580558,18.995609,72.827269,MOTHERHUB_MUM,WADALAHUB_MUM,72000,512,0
Shipment,MOTHERHUB_MUM-WADALAHUB_MUM-c,19.1170238,72.8580558,18.995609,72.827269,MOTHERHUB_MUM,WADALAHUB_MUM,72000,131,14400
Shipment,MOTHERHUB_MUM-WADALAMPHUB_MUM-p,19.1170238,72.8580558,18.995609,72.827269,MOTHERHUB_MUM,WADALAMPHUB_MUM,72000,11,0
Shipment,MOTHERHUB_MUM-WADALAMPHUB_MUM-c,19.1170238,72.8580558,18.995609,72.827269,MOTHERHUB_MUM,WADALAMPHUB_MUM,72000,152,14400
