 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           ,,,
12, 4-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_BLR ,128308,128308,37647725,,,
12, 4-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_BLR ,230277,230277,67567171,63.9658333333,2.6652430556,67567.171
12, 4-MOTHERHUB_PTI-32   , end                   , -               ,230277, undef           ,67567171,,,
,,,,,,,,,
13, 5-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
13, 5-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_AMD ,0,0,0,,,
13, 5-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_STV ,0,0,0,,,
13, 5-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_STV ,21783,21783,6391613,,,
13, 5-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_STV ,87052,87052,25542561,,,
13, 5-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_AMD ,87052,87052,25542561,,,
13, 5-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_STV ,111107,111107,32600642,,,
13, 5-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_STV ,111107,111107,32600642,,,
13, 5-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_STV ,111107,111107,32600642,30.8630555556,1.2859606481,32600.642
13, 5-MOTHERHUB_PTI-32   , end                   , -               ,111107, undef           ,32600642,,,
,,,,,,,,,
14, 6-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
14, 6-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BLR-2 ,0,0,0,,,
14, 6-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BLR-2 ,201496,201496,59122498,,,
14, 6-MOTHERHUB_PTI-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_BIL-1 ,201496,201496,59122498,,,
14, 6-MOTHERHUB_PTI-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_BIL-1 ,303465,303465,89041943,84.2958333333,3.5123263889,89041.943
14, 6-MOTHERHUB_PTI-32   , end                   , -               ,303465, undef           ,89041943,,,
,,,,,,,,,
15, 7-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
15, 7-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BLR-1 ,0,0,0,,,
15, 7-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BLR-1 ,201496,201496,59122498,55.9711111111,2.3321296296,59122.498
15, 7-MOTHERHUB_PTI-32   , end                   , -               ,201496, undef           ,59122498,,,
,,,,,,,,,
16, 8-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
16, 8-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BLR-3 ,0,0,0,,,
16, 8-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BLR-3 ,201496,201496,59122498,55.9711111111,2.3321296296,59122.498
16, 8-MOTHERHUB_PTI-32   , end                   , -               ,201496, undef           ,59122498,,,
,,,,,,,,,
17, 9-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
17, 9-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_KOL-4 ,0,0,0,,,
17, 9-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_KOL-4 ,154017,154017,45191369,42.7825,1.7826041667,45191.369
17, 9-MOTHERHUB_PTI-32   , end                   , -               ,154017, undef           ,45191369,,,
,,,,,,,,,
18, 4-MOTHERHUB_STV-32   , start                 , -               , undef           ,0,0,,,
18, 4-MOTHERHUB_STV-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_JAI ,0,0,0,,,
18, 4-MOTHERHUB_STV-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_KOL ,0,0,0,,,
18, 4-MOTHERHUB_STV-32   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_KOL ,84286,84286,24731006,,,
18, 4-MOTHERHUB_STV-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_JAI ,84286,84286,24731006,,,
18, 4-MOTHERHUB_STV-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_KOL ,243573,243573,71468352,,,
18, 4-MOTHERHUB_STV-32   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_KOL ,243573,243573,71468352,67.6591666667,2.8191319444,71468.352
18, 4-MOTHERHUB_STV-32   , end                   , -               ,243573, undef           ,71468352,,,
,,,,,,,,,
19, 4-MOTHERHUB_CHN-32   , start                 , -               , undef           ,0,0,,,
19, 4-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_BIL ,0,0,0,,,
19, 4-MOTHERHUB_CHN-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_STV ,28730,28730,8429741,,,
19, 4-MOTHERHUB_CHN-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_JAI ,28730,28730,8429741,,,
19, 4-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_BIL ,130699,130699,38349187,,,
19, 4-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_JAI ,130699,130699,38349187,,,
19, 4-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_BIL-MOTHERHUB_PTI-2 ,130699,130699,38349187,,,
19, 4-MOTHERHUB_CHN-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_STV ,155090,155090,45506083,,,
19, 4-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_PTI ,155090,155090,45506083,,,
19, 4-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_JAI ,239376,239376,70237089,,,
19, 4-MOTHERHUB_CHN-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_JAI ,239376,239376,70237089,,,
19, 4-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_BIL-MOTHERHUB_PTI-2 ,261160,261160,76628702,,,
19, 4-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_PTI ,261160,261160,76628702,,,
19, 4-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_KOL-1 ,261160,261160,76628702,,,
19, 4-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_KOL-1 ,415177,415177,121820071,115.3269444444,4.8052893519,121820.071
19, 4-MOTHERHUB_CHN-32   , end                   , -               ,415177, undef           ,121820071,,,
,,,,,,,,,
20, 9-MOTHERHUB_CHN-32   , start                 , -               , undef           ,0,0,,,
20, 9-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_JAI ,0,0,0,,,
20, 9-MOTHERHUB_CHN-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_PTI-2 ,28730,28730,8429741,,,
20, 9-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_JAI ,89668,89668,26310011,,,
20, 9-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_PTI-2 ,89668,89668,26310011,,,
20, 9-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_JAI ,217066,217066,63690785,,,
20, 9-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_JAI ,217066,217066,63690785,,,
20, 9-MOTHERHUB_CHN-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_PTI-2 ,238849,238849,70082398,,,
20, 9-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_PTI-2 ,238849,238849,70082398,,,
20, 9-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BIL-1 ,238849,238849,70082398,,,
20, 9-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BIL-1 ,366367,366367,107498409,101.7686111111,4.2403587963,107498.409
20, 9-MOTHERHUB_CHN-32   , end                   , -               ,366367, undef           ,107498409,,,
,,,,,,,,,
21, 6-MOTHERHUB_CHN-24   , start                 , -               , undef           ,0,0,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_PTI ,0,0,0,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_AMD ,0,0,0,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_AMD ,49440,49440,16517487,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_AMD ,128510,128510,42934185,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_AMD ,128510,128510,42934185,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_JAI ,128510,128510,42934185,,,
21, 6-MOTHERHUB_CHN-24   , pickupShipment        , MOTHERHUB_AMD-MOTHERHUB_PTI ,128510,128510,42934185,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_JAI ,179792,179792,60067291,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_AMD-MOTHERHUB_PTI ,196908,196908,65785451,,,
21, 6-MOTHERHUB_CHN-24   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_PTI ,196908,196908,65785451,54.6966666667,2.2790277778,65785.451
21, 6-MOTHERHUB_CHN-24   , end                   , -               ,196908, undef           ,65785451,,,
,,,,,,,,,
22, 2-MotherHub_BLR-32   , start                 , -               , undef           ,0,0,,,
22, 2-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_PTI-1 ,0,0,0,,,
22, 2-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_PTI-1 ,201496,201496,59122498,,,
22, 2-MotherHub_BLR-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BIL-2 ,201496,201496,59122498,,,
22, 2-MotherHub_BLR-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BIL-2 ,329015,329015,96538509,91.3930555556,3.8080439815,96538.509
22, 2-MotherHub_BLR-32   , end                   , -               ,329015, undef           ,96538509,,,
,,,,,,,,,
23, 4-MotherHub_BLR-32   , start                 , -               , undef           ,0,0,,,
23, 4-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_KOL-1 ,0,0,0,,,
23, 4-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_KOL-1 ,182703,182703,53608157,,,
23, 4-MotherHub_BLR-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_JAI ,182703,182703,53608157,,,
23, 4-MotherHub_BLR-32   , pickupShipment        , MOTHERHUB_KOL-MOTHERHUB_PTI ,182703,182703,53608157,,,
23, 4-MotherHub_BLR-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_PTI ,336720,336720,98799526,,,
23, 4-MotherHub_BLR-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_JAI ,336720,336720,98799526,,,
23, 4-MotherHub_BLR-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_JAI ,358504,358504,105191139,,,
23, 4-MotherHub_BLR-32   , deliverShipment       , MOTHERHUB_KOL-MOTHERHUB_JAI ,358504,358504,105191139,99.5844444444,4.1493518519,105191.139
23, 4-MotherHub_BLR-32   , end                   , -               ,358504, undef           ,105191139,,,
,,,,,,,,,
24, 6-MotherHub_BLR-32   , start                 , -               , undef           ,0,0,,,
24, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_KOL-2 ,0,0,0,,,
24, 6-MotherHub_BLR-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_MED ,0,0,0,,,
24, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_MED ,60938,60938,17880270,,,
24, 6-MotherHub_BLR-32   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_KOL ,60938,60938,17880270,,,
24, 6-MotherHub_BLR-32   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_KOL ,199432,199432,58516886,,,
24, 6-MotherHub_BLR-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_KOL-2 ,199432,199432,58516886,55.3977777778,2.3082407407,58516.886
24, 6-MotherHub_BLR-32   , end                   , -               ,199432, undef           ,58516886,,,
,,,,,,,,,
25, 4-MOTHERHUB_JAI-32   , start                 , -               , undef           ,0,0,,,
25, 4-MOTHERHUB_JAI-32   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_PTI ,0,0,0,,,
25, 4-MOTHERHUB_JAI-32   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_MED ,0,0,0,,,
25, 4-MOTHERHUB_JAI-32   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_PTI ,21783,21783,6391613,,,
25, 4-MOTHERHUB_JAI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_MED-2 ,21783,21783,6391613,,,
25, 4-MOTHERHUB_JAI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_MED-2 ,163885,163885,48086719,,,
25, 4-MOTHERHUB_JAI-32   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_MED ,163885,163885,48086719,,,
25, 4-MOTHERHUB_JAI-32   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_PTI-1 ,163885,163885,48086719,,,
25, 4-MOTHERHUB_JAI-32   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_PTI-1 ,305987,305987,89781826,84.9963888889,3.5415162037,89781.826
25, 4-MOTHERHUB_JAI-32   , end                   , -               ,305987, undef           ,89781826,,,
