item,id,src_lat,src_long,dest_lat,des_long,source_name,destination_name,Load
Shipments,MotherHub_JAI_MotherHub_CHN,26.948758,75.762015,13.046088,80.069352,MotherHub_JAI,MotherHub_CHN,485
Shipments,MotherHub_KOL_MotherHub_MED,22.693624,88.487686,17.580668,78.469767,MotherHub_KOL,MotherHub_MED,169
Shipments,MotherHub_MED_MotherHub_ABL,17.580668,78.469767,30.39645,76.811665,MotherHub_MED,MotherHub_ABL,22
Shipments,MotherHub_BHI_MotherHub_IDR,19.238673,73.036094,22.768738,75.903691,MotherHub_BHI,MotherHub_IDR,105
Shipments,MotherHub_DKN_MotherHub_STV,22.740286,88.31672,21.088983,72.915352,MotherHub_DKN,MotherHub_STV,12
Shipments,MotherHub_PTI_MotherHub_AMD,28.307612,76.81791,22.88998,72.594151,MotherHub_PTI,MotherHub_AMD,2593
Shipments,MotherHub_KNG_MotherHub_KOL,13.063051,77.741323,22.693624,88.487686,MotherHub_KNG,MotherHub_KOL,806
Shipments,MotherHub_STV_MotherHub_ABL,21.088983,72.915352,30.39645,76.811665,MotherHub_STV,MotherHub_ABL,15
Shipments,MotherHub_JAI_MotherHub_BAM,26.948758,75.762015,28.54532,77.029136,MotherHub_JAI,MotherHub_BAM,657
Shipments,MotherHub_MED_MotherHub_DEL,17.580668,78.469767,28.54912,77.131226,MotherHub_MED,MotherHub_DEL,3
Shipments,MotherHub_STV_MotherHub_MUM,21.088983,72.915352,19.080923,72.879793,MotherHub_STV,MotherHub_MUM,14
Shipments,MotherHub_BHI_MotherHub_KNG,19.238673,73.036094,13.063051,77.741323,MotherHub_BHI,MotherHub_KNG,165
Shipments,MotherHub_BHI_MotherHub_KOL,19.238673,73.036094,22.693624,88.487686,MotherHub_BHI,MotherHub_KOL,397
Shipments,Motherhub_JIG_MotherHub_GAU,12.783553,77.644351,26.111505,91.772078,Motherhub_JIG,MotherHub_GAU,10
Shipments,MotherHub_BHI_MotherHub_CJB,19.238673,73.036094,11.062704,77.090434,MotherHub_BHI,MotherHub_CJB,75
Shipments,MotherHub_AMD_MotherHub_KNG,22.88998,72.594151,13.063051,77.741323,MotherHub_AMD,MotherHub_KNG,75
Shipments,MotherHub_IXR_MotherHub_PTI,23.349885,85.342528,28.307612,76.81791,MotherHub_IXR,MotherHub_PTI,0
Shipments,MotherHub_DKN_MotherHub_MUM,22.740286,88.31672,19.080923,72.879793,MotherHub_DKN,MotherHub_MUM,11
Shipments,MotherHub_KNG_MotherHub_DEL,13.063051,77.741323,28.54912,77.131226,MotherHub_KNG,MotherHub_DEL,5
Shipments,MotherHub_JAI_MotherHub_RAI,26.948758,75.762015,21.271957,81.635654,MotherHub_JAI,MotherHub_RAI,70
Shipments,MotherHub_MED_MotherHub_PUNE,17.580668,78.469767,18.607342,73.727015,MotherHub_MED,MotherHub_PUNE,1311
Shipments,MotherHub_DKN_MotherHub_CHN,22.740286,88.31672,13.046088,80.069352,MotherHub_DKN,MotherHub_CHN,134
Shipments,MotherHub_WTF_MotherHub_STV,12.991207,77.808766,21.088983,72.915352,MotherHub_WTF,MotherHub_STV,81
Shipments,MotherHub_BHI_MotherHub_MED,19.238673,73.036094,17.580668,78.469767,MotherHub_BHI,MotherHub_MED,287
Shipments,MotherHub_PTI_MotherHub_CHN,28.307612,76.81791,13.046088,80.069352,MotherHub_PTI,MotherHub_CHN,3740
Shipments,MotherHub_WTF_MotherHub_MED,12.991207,77.808766,17.580668,78.469767,MotherHub_WTF,MotherHub_MED,2295
Shipments,MotherHub_PTI_MotherHub_BAM,28.307612,76.81791,28.54532,77.029136,MotherHub_PTI,MotherHub_BAM,338
Shipments,MotherHub_DKN_MotherHub_ABL,22.740286,88.31672,30.39645,76.811665,MotherHub_DKN,MotherHub_ABL,3
Shipments,MotherHub_BLP_MotherHub_MED,28.294382,76.856416,17.580668,78.469767,MotherHub_BLP,MotherHub_MED,529
Shipments,MotherHub_PTD_MotherHub_PUNE,28.300608,76.820188,18.607342,73.727015,MotherHub_PTD,MotherHub_PUNE,61
Shipments,MotherHub_PUNE_MotherHub_BAM,18.607342,73.727015,28.54532,77.029136,MotherHub_PUNE,MotherHub_BAM,92
Shipments,MotherHub_IXR_MotherHub_STV,23.349885,85.342528,21.088983,72.915352,MotherHub_IXR,MotherHub_STV,0
Shipments,MotherHub_DEL_MotherHub_IDR,28.54912,77.131226,22.768738,75.903691,MotherHub_DEL,MotherHub_IDR,249
Shipments,MotherHub_AMD_MotherHub_ABL,22.88998,72.594151,30.39645,76.811665,MotherHub_AMD,MotherHub_ABL,3
Shipments,MotherHub_STV_MotherHub_GAU,21.088983,72.915352,26.111505,91.772078,MotherHub_STV,MotherHub_GAU,299
Shipments,MotherHub_DKN_MotherHub_RAI,22.740286,88.31672,21.271957,81.635654,MotherHub_DKN,MotherHub_RAI,42
Shipments,MotherHub_BLP_MotherHub_BAM,28.294382,76.856416,28.54532,77.029136,MotherHub_BLP,MotherHub_BAM,2755
Shipments,MotherHub_KOL_MotherHub_IXR,22.693624,88.487686,23.349885,85.342528,MotherHub_KOL,MotherHub_IXR,96
Shipments,MotherHub_AMD_MotherHub_STV,22.88998,72.594151,21.088983,72.915352,MotherHub_AMD,MotherHub_STV,20
Shipments,MotherHub_PZH_MotherHub_IDR,13.15093,80.199126,22.768738,75.903691,MotherHub_PZH,MotherHub_IDR,62
Shipments,MotherHub_DEL_MotherHub_KNG,28.54912,77.131226,13.063051,77.741323,MotherHub_DEL,MotherHub_KNG,150
Shipments,MotherHub_PTI_MotherHub_MED,28.307612,76.81791,17.580668,78.469767,MotherHub_PTI,MotherHub_MED,4329
Shipments,MotherHub_MED_MotherHub_BAM,17.580668,78.469767,28.54532,77.029136,MotherHub_MED,MotherHub_BAM,1672
Shipments,MotherHub_PTD_MotherHub_CHN,28.300608,76.820188,13.046088,80.069352,MotherHub_PTD,MotherHub_CHN,47
Shipments,MotherHub_BNO_MotherHub_STV,28.54532,77.029136,21.088983,72.915352,MotherHub_BNO,MotherHub_STV,147
Shipments,MotherHub_STV_MotherHub_IXR,21.088983,72.915352,23.349885,85.342528,MotherHub_STV,MotherHub_IXR,226
Shipments,MotherHub_AMD_MotherHub_PAT,22.88998,72.594151,25.585908,85.182063,MotherHub_AMD,MotherHub_PAT,56
Shipments,MotherHub_CHN_MotherHub_ABL,13.046088,80.069352,30.39645,76.811665,MotherHub_CHN,MotherHub_ABL,2
Shipments,MotherHub_BAM_MotherHub_MED,28.54532,77.029136,17.580668,78.469767,MotherHub_BAM,MotherHub_MED,0
Shipments,MotherHub_CHN_MotherHub_KOL,13.046088,80.069352,22.693624,88.487686,MotherHub_CHN,MotherHub_KOL,180
Shipments,MotherHub_PZH_MotherHub_KOL,13.15093,80.199126,22.693624,88.487686,MotherHub_PZH,MotherHub_KOL,291
Shipments,MotherHub_DEL_MotherHub_RAI,28.54912,77.131226,21.271957,81.635654,MotherHub_DEL,MotherHub_RAI,157
Shipments,MotherHub_KOL_MotherHub_MUM,22.693624,88.487686,19.080923,72.879793,MotherHub_KOL,MotherHub_MUM,14
Shipments,MotherHub_JAI_MotherHub_PUNE,26.948758,75.762015,18.607342,73.727015,MotherHub_JAI,MotherHub_PUNE,339
Shipments,MotherHub_JAI_MotherHub_KNG,26.948758,75.762015,13.063051,77.741323,MotherHub_JAI,MotherHub_KNG,82
Shipments,MotherHub_AMD_MotherHub_BNO,22.88998,72.594151,28.54532,77.029136,MotherHub_AMD,MotherHub_BNO,0
Shipments,MotherHub_DEL_MotherHub_AMD,28.54912,77.131226,22.88998,72.594151,MotherHub_DEL,MotherHub_AMD,455
Shipments,MotherHub_MED_MotherHub_JAI,17.580668,78.469767,26.948758,75.762015,MotherHub_MED,MotherHub_JAI,392
Shipments,MotherHub_STV_MotherHub_IDR,21.088983,72.915352,22.768738,75.903691,MotherHub_STV,MotherHub_IDR,215
Shipments,MotherHub_PTD_MotherHub_KNG,28.300608,76.820188,13.063051,77.741323,MotherHub_PTD,MotherHub_KNG,13
Shipments,MotherHub_PUNE_MotherHub_KNG,18.607342,73.727015,13.063051,77.741323,MotherHub_PUNE,MotherHub_KNG,44
Shipments,MotherHub_DEL_MotherHub_BAM,28.54912,77.131226,28.54532,77.029136,MotherHub_DEL,MotherHub_BAM,1943
Shipments,MotherHub_BLP_MotherHub_DEL,28.294382,76.856416,28.54912,77.131226,MotherHub_BLP,MotherHub_DEL,0
Shipments,MotherHub_WTF_MotherHub_CJB,12.991207,77.808766,11.062704,77.090434,MotherHub_WTF,MotherHub_CJB,445
Shipments,MotherHub_KNG_MotherHub_JAI,13.063051,77.741323,26.948758,75.762015,MotherHub_KNG,MotherHub_JAI,200
Shipments,MotherHub_KOL_MotherHub_AMD,22.693624,88.487686,22.88998,72.594151,MotherHub_KOL,MotherHub_AMD,65
Shipments,MotherHub_BAM_MotherHub_PAT,28.54532,77.029136,25.585908,85.182063,MotherHub_BAM,MotherHub_PAT,0
Shipments,MotherHub_BAM_MotherHub_ABL,28.54532,77.029136,30.39645,76.811665,MotherHub_BAM,MotherHub_ABL,0
Shipments,MotherHub_BHI_MotherHub_DEL,19.238673,73.036094,28.54912,77.131226,MotherHub_BHI,MotherHub_DEL,62
Shipments,MotherHub_PTD_MotherHub_GAU,28.300608,76.820188,26.111505,91.772078,MotherHub_PTD,MotherHub_GAU,25
Shipments,MotherHub_DKN_MotherHub_BAM,22.740286,88.31672,28.54532,77.029136,MotherHub_DKN,MotherHub_BAM,143
Shipments,MotherHub_KNG_MotherHub_CHN,13.063051,77.741323,13.046088,80.069352,MotherHub_KNG,MotherHub_CHN,746
Shipments,MotherHub_CHN_MotherHub_IXR,13.046088,80.069352,23.349885,85.342528,MotherHub_CHN,MotherHub_IXR,27
Shipments,MotherHub_KOL_MotherHub_BNO,22.693624,88.487686,28.54532,77.029136,MotherHub_KOL,MotherHub_BNO,2
Shipments,MotherHub_KNG_MotherHub_GAU,13.063051,77.741323,26.111505,91.772078,MotherHub_KNG,MotherHub_GAU,249
Shipments,MotherHub_CHN_MotherHub_BNO,13.046088,80.069352,28.54532,77.029136,MotherHub_CHN,MotherHub_BNO,1
Shipments,MotherHub_BHI_MotherHub_PAT,19.238673,73.036094,25.585908,85.182063,MotherHub_BHI,MotherHub_PAT,155
Shipments,MotherHub_KNG_MotherHub_IXR,13.063051,77.741323,23.349885,85.342528,MotherHub_KNG,MotherHub_IXR,139
Shipments,MotherHub_BLP_MotherHub_GZB,28.294382,76.856416,28.681766,77.530593,MotherHub_BLP,MotherHub_GZB,4
Shipments,MotherHub_KNG_MotherHub_AMD,13.063051,77.741323,22.88998,72.594151,MotherHub_KNG,MotherHub_AMD,301
Shipments,MotherHub_DKN_MotherHub_CJB,22.740286,88.31672,11.062704,77.090434,MotherHub_DKN,MotherHub_CJB,19
Shipments,MotherHub_JAI_MotherHub_CJB,26.948758,75.762015,11.062704,77.090434,MotherHub_JAI,MotherHub_CJB,106
Shipments,Motherhub_JIG_MotherHub_BNO,12.783553,77.644351,28.54532,77.029136,Motherhub_JIG,MotherHub_BNO,0
Shipments,MotherHub_GZB_MotherHub_BNO,28.681766,77.530593,28.54532,77.029136,MotherHub_GZB,MotherHub_BNO,0
Shipments,MotherHub_PUNE_MotherHub_AMD,18.607342,73.727015,22.88998,72.594151,MotherHub_PUNE,MotherHub_AMD,68
Shipments,MotherHub_MED_MotherHub_CHN,17.580668,78.469767,13.046088,80.069352,MotherHub_MED,MotherHub_CHN,1323
Shipments,MotherHub_BNO_MotherHub_BAM,28.54532,77.029136,28.54532,77.029136,MotherHub_BNO,MotherHub_BAM,1
Shipments,MotherHub_PTD_MotherHub_ABL,28.300608,76.820188,30.39645,76.811665,MotherHub_PTD,MotherHub_ABL,9
Shipments,MotherHub_KNG_MotherHub_GZB,13.063051,77.741323,28.681766,77.530593,MotherHub_KNG,MotherHub_GZB,2
Shipments,MotherHub_BHI_MotherHub_ABL,19.238673,73.036094,30.39645,76.811665,MotherHub_BHI,MotherHub_ABL,9
Shipments,MotherHub_KNG_MotherHub_MED,13.063051,77.741323,17.580668,78.469767,MotherHub_KNG,MotherHub_MED,1211
Shipments,MotherHub_PTD_MotherHub_RAI,28.300608,76.820188,21.271957,81.635654,MotherHub_PTD,MotherHub_RAI,20
Shipments,MotherHub_BHI_MotherHub_GZB,19.238673,73.036094,28.681766,77.530593,MotherHub_BHI,MotherHub_GZB,1
Shipments,MotherHub_DEL_MotherHub_STV,28.54912,77.131226,21.088983,72.915352,MotherHub_DEL,MotherHub_STV,87
Shipments,MotherHub_PZH_MotherHub_MUM,13.15093,80.199126,19.080923,72.879793,MotherHub_PZH,MotherHub_MUM,142
Shipments,MotherHub_BNO_MotherHub_KOL,28.54532,77.029136,22.693624,88.487686,MotherHub_BNO,MotherHub_KOL,1450
Shipments,MotherHub_CHN_MotherHub_CJB,13.046088,80.069352,11.062704,77.090434,MotherHub_CHN,MotherHub_CJB,56
Shipments,Motherhub_JIG_MotherHub_IXR,12.783553,77.644351,23.349885,85.342528,Motherhub_JIG,MotherHub_IXR,6
Shipments,MotherHub_JAI_MotherHub_PTI,26.948758,75.762015,28.307612,76.81791,MotherHub_JAI,MotherHub_PTI,886
Shipments,MotherHub_KNG_MotherHub_MUM,13.063051,77.741323,19.080923,72.879793,MotherHub_KNG,MotherHub_MUM,121
Shipments,MotherHub_PUNE_MotherHub_DEL,18.607342,73.727015,28.54912,77.131226,MotherHub_PUNE,MotherHub_DEL,0
Shipments,MotherHub_DKN_MotherHub_IDR,22.740286,88.31672,22.768738,75.903691,MotherHub_DKN,MotherHub_IDR,26
Shipments,Motherhub_JIG_MotherHub_PUNE,12.783553,77.644351,18.607342,73.727015,Motherhub_JIG,MotherHub_PUNE,44
Shipments,MotherHub_BLP_MotherHub_STV,28.294382,76.856416,21.088983,72.915352,MotherHub_BLP,MotherHub_STV,77
Shipments,MotherHub_IDR_MotherHub_CHN,22.768738,75.903691,13.046088,80.069352,MotherHub_IDR,MotherHub_CHN,14
Shipments,MotherHub_PTI_MotherHub_PAT,28.307612,76.81791,25.585908,85.182063,MotherHub_PTI,MotherHub_PAT,1991
Shipments,MotherHub_CHN_MotherHub_KNG,13.046088,80.069352,13.063051,77.741323,MotherHub_CHN,MotherHub_KNG,33
Shipments,MotherHub_GZB_MotherHub_PTI,28.681766,77.530593,28.307612,76.81791,MotherHub_GZB,MotherHub_PTI,3
Shipments,MotherHub_BHI_MotherHub_PUNE,19.238673,73.036094,18.607342,73.727015,MotherHub_BHI,MotherHub_PUNE,1604
Shipments,MotherHub_CHN_MotherHub_STV,13.046088,80.069352,21.088983,72.915352,MotherHub_CHN,MotherHub_STV,15
Shipments,MotherHub_BNO_MotherHub_JAI,28.54532,77.029136,26.948758,75.762015,MotherHub_BNO,MotherHub_JAI,0
Shipments,MotherHub_KOL_MotherHub_JAI,22.693624,88.487686,26.948758,75.762015,MotherHub_KOL,MotherHub_JAI,49
Shipments,MotherHub_DEL_MotherHub_CHN,28.54912,77.131226,13.046088,80.069352,MotherHub_DEL,MotherHub_CHN,388
Shipments,MotherHub_BAM_MotherHub_GZB,28.54532,77.029136,28.681766,77.530593,MotherHub_BAM,MotherHub_GZB,24
Shipments,MotherHub_CHN_MotherHub_PAT,13.046088,80.069352,25.585908,85.182063,MotherHub_CHN,MotherHub_PAT,62
Shipments,MotherHub_CHN_MotherHub_GZB,13.046088,80.069352,28.681766,77.530593,MotherHub_CHN,MotherHub_GZB,0
Shipments,MotherHub_CHN_MotherHub_GAU,13.046088,80.069352,26.111505,91.772078,MotherHub_CHN,MotherHub_GAU,59
Shipments,MotherHub_WTF_MotherHub_IXR,12.991207,77.808766,23.349885,85.342528,MotherHub_WTF,MotherHub_IXR,227
Shipments,MotherHub_DEL_MotherHub_IXR,28.54912,77.131226,23.349885,85.342528,MotherHub_DEL,MotherHub_IXR,135
Shipments,MotherHub_STV_MotherHub_JAI,21.088983,72.915352,26.948758,75.762015,MotherHub_STV,MotherHub_JAI,259
Shipments,MotherHub_BLP_MotherHub_PAT,28.294382,76.856416,25.585908,85.182063,MotherHub_BLP,MotherHub_PAT,602
Shipments,MotherHub_GZB_MotherHub_BAM,28.681766,77.530593,28.54532,77.029136,MotherHub_GZB,MotherHub_BAM,156
Shipments,MotherHub_CHN_MotherHub_PTI,13.046088,80.069352,28.307612,76.81791,MotherHub_CHN,MotherHub_PTI,140
Shipments,MotherHub_MED_MotherHub_BNO,17.580668,78.469767,28.54532,77.029136,MotherHub_MED,MotherHub_BNO,4
Shipments,MotherHub_DKN_MotherHub_MED,22.740286,88.31672,17.580668,78.469767,MotherHub_DKN,MotherHub_MED,194
Shipments,MotherHub_MED_MotherHub_GAU,17.580668,78.469767,26.111505,91.772078,MotherHub_MED,MotherHub_GAU,311
Shipments,MotherHub_KNG_MotherHub_PUNE,13.063051,77.741323,18.607342,73.727015,MotherHub_KNG,MotherHub_PUNE,538
Shipments,MotherHub_CHN_MotherHub_AMD,13.046088,80.069352,22.88998,72.594151,MotherHub_CHN,MotherHub_AMD,71
Shipments,MotherHub_KOL_MotherHub_KNG,22.693624,88.487686,13.063051,77.741323,MotherHub_KOL,MotherHub_KNG,34
Shipments,MotherHub_BLP_MotherHub_PUNE,28.294382,76.856416,18.607342,73.727015,MotherHub_BLP,MotherHub_PUNE,433
Shipments,MotherHub_MED_MotherHub_CJB,17.580668,78.469767,11.062704,77.090434,MotherHub_MED,MotherHub_CJB,418
Shipments,MotherHub_KOL_MotherHub_STV,22.693624,88.487686,21.088983,72.915352,MotherHub_KOL,MotherHub_STV,15
Shipments,MotherHub_MED_MotherHub_AMD,17.580668,78.469767,22.88998,72.594151,MotherHub_MED,MotherHub_AMD,642
Shipments,MotherHub_IDR_MotherHub_KOL,22.768738,75.903691,22.693624,88.487686,MotherHub_IDR,MotherHub_KOL,29
Shipments,MotherHub_PTI_MotherHub_MUM,28.307612,76.81791,19.080923,72.879793,MotherHub_PTI,MotherHub_MUM,108
Shipments,MotherHub_JAI_MotherHub_IXR,26.948758,75.762015,23.349885,85.342528,MotherHub_JAI,MotherHub_IXR,106
